2021-11-05 13:18:10
2021-11-05 18:42:16

step :5000 |ssim:0.5703| psnr:18.9811
step :130000 |ssim:0.8756| psnr:27.5089
 model saved at step :130000| max_psnr:27.5089|max_ssim:0.8756
step :135000 |ssim:0.8704| psnr:27.8356
step :140000 |ssim:0.8742| psnr:28.1801
step :145000 |ssim:0.8781| psnr:27.9900
 model saved at step :145000| max_psnr:27.9900|max_ssim:0.8781
step :150000 |ssim:0.8725| psnr:27.7298
step :155000 |ssim:0.8795| psnr:28.3197
 model saved at step :155000| max_psnr:28.3197|max_ssim:0.8795
step :160000 |ssim:0.8807| psnr:28.2387
step :165000 |ssim:0.8840| psnr:28.3734
 model saved at step :165000| max_psnr:28.3734|max_ssim:0.8840
step :170000 |ssim:0.8762| psnr:28.2227
step :175000 |ssim:0.8855| psnr:28.6229
 model saved at step :175000| max_psnr:28.6229|max_ssim:0.8855
step :180000 |ssim:0.8729| psnr:27.1574
step :185000 |ssim:0.8831| psnr:28.3130
step :190000 |ssim:0.8860| psnr:28.5844
step :195000 |ssim:0.8891| psnr:28.7603
 model saved at step :195000| max_psnr:28.7603|max_ssim:0.8891
step :200000 |ssim:0.8899| psnr:28.7252
step :205000 |ssim:0.8789| psnr:28.5696
step :210000 |ssim:0.8930| psnr:28.9285
 model saved at step :210000| max_psnr:28.9285|max_ssim:0.8930
step :215000 |ssim:0.8869| psnr:28.5428
step :220000 |ssim:0.8952| psnr:29.0360
 model saved at step :220000| max_psnr:29.0360|max_ssim:0.8952
step :225000 |ssim:0.8934| psnr:28.9101
step :230000 |ssim:0.8934| psnr:28.9746
step :235000 |ssim:0.8945| psnr:28.9957
step :240000 |ssim:0.8951| psnr:28.9221
step :245000 |ssim:0.8965| psnr:29.1624
 model saved at step :245000| max_psnr:29.1624|max_ssim:0.8965
step :250000 |ssim:0.8915| psnr:28.9885
step :255000 |ssim:0.8982| psnr:29.1506
step :260000 |ssim:0.8967| psnr:29.0951
step :265000 |ssim:0.8970| psnr:29.0540
step :270000 |ssim:0.8969| psnr:29.1950
 model saved at step :270000| max_psnr:29.1950|max_ssim:0.8969
step :275000 |ssim:0.8993| psnr:29.3064
 model saved at step :275000| max_psnr:29.3064|max_ssim:0.8993
step :280000 |ssim:0.8997| psnr:29.3262
 model saved at step :280000| max_psnr:29.3262|max_ssim:0.8997
step :285000 |ssim:0.8986| psnr:29.2787
step :290000 |ssim:0.8974| psnr:29.1608
step :295000 |ssim:0.8992| psnr:29.3359
step :300000 |ssim:0.9013| psnr:29.4134
 model saved at step :300000| max_psnr:29.4134|max_ssim:0.9013
step :305000 |ssim:0.9024| psnr:29.4672
 model saved at step :305000| max_psnr:29.4672|max_ssim:0.9024
step :310000 |ssim:0.9020| psnr:29.5312
step :315000 |ssim:0.9003| psnr:29.3013
step :320000 |ssim:0.9028| psnr:29.5288
 model saved at step :320000| max_psnr:29.5288|max_ssim:0.9028
step :325000 |ssim:0.9035| psnr:29.4675
step :330000 |ssim:0.9027| psnr:29.5501
step :335000 |ssim:0.9027| psnr:29.5230
step :340000 |ssim:0.9049| psnr:29.6133
 model saved at step :340000| max_psnr:29.6133|max_ssim:0.9049
step :345000 |ssim:0.9041| psnr:29.6076
step :350000 |ssim:0.9051| psnr:29.6390
 model saved at step :350000| max_psnr:29.6390|max_ssim:0.9051
step :355000 |ssim:0.9055| psnr:29.6457
 model saved at step :355000| max_psnr:29.6457|max_ssim:0.9055
step :360000 |ssim:0.9050| psnr:29.6689
step :365000 |ssim:0.9049| psnr:29.6656
step :370000 |ssim:0.9057| psnr:29.6875
 model saved at step :370000| max_psnr:29.6875|max_ssim:0.9057
step :375000 |ssim:0.9049| psnr:29.6637
step :380000 |ssim:0.9048| psnr:29.6424
step :385000 |ssim:0.9064| psnr:29.7310
 model saved at step :385000| max_psnr:29.7310|max_ssim:0.9064
step :390000 |ssim:0.9062| psnr:29.7390
step :395000 |ssim:0.9070| psnr:29.7449
 model saved at step :395000| max_psnr:29.7449|max_ssim:0.9070
step :400000 |ssim:0.9065| psnr:29.7392
step :405000 |ssim:0.9068| psnr:29.7504
step :410000 |ssim:0.9070| psnr:29.7750
step :415000 |ssim:0.9072| psnr:29.7749
 model saved at step :415000| max_psnr:29.7749|max_ssim:0.9072
step :420000 |ssim:0.9075| psnr:29.7709
step :425000 |ssim:0.9074| psnr:29.7889
 model saved at step :425000| max_psnr:29.7889|max_ssim:0.9074
step :430000 |ssim:0.9069| psnr:29.7817
step :435000 |ssim:0.9074| psnr:29.7926
step :440000 |ssim:0.9075| psnr:29.7979
 model saved at step :440000| max_psnr:29.7979|max_ssim:0.9075
step :445000 |ssim:0.9075| psnr:29.8027
step :450000 |ssim:0.9075| psnr:29.7999
step :455000 |ssim:0.9074| psnr:29.7938
step :460000 |ssim:0.9076| psnr:29.7930
step :465000 |ssim:0.9077| psnr:29.8088
 model saved at step :465000| max_psnr:29.8088|max_ssim:0.9077
step :470000 |ssim:0.9077| psnr:29.8103
 model saved at step :470000| max_psnr:29.8103|max_ssim:0.9077
step :475000 |ssim:0.9077| psnr:29.8102
step :480000 |ssim:0.9077| psnr:29.8109
step :485000 |ssim:0.9078| psnr:29.8140
 model saved at step :485000| max_psnr:29.8140|max_ssim:0.9078
step :490000 |ssim:0.9078| psnr:29.8145
step :495000 |ssim:0.9078| psnr:29.8152
step :500000 |ssim:0.9078| psnr:29.81512021-11-08 06:24:342021-11-08 12:09:21
2021-11-08 14:07:44
2021-11-08 15:56:10

step :5000 |ssim:0.7014| psnr:21.8332
 model saved at step :5000| max_psnr:21.8332|max_ssim:0.7014
step :10000 |ssim:0.7630| psnr:22.6150
 model saved at step :10000| max_psnr:22.6150|max_ssim:0.7630
step :15000 |ssim:0.7716| psnr:23.8242
 model saved at step :15000| max_psnr:23.8242|max_ssim:0.7716
step :20000 |ssim:0.7417| psnr:21.3083
step :25000 |ssim:0.8091| psnr:24.7367
 model saved at step :25000| max_psnr:24.7367|max_ssim:0.8091
step :30000 |ssim:0.7956| psnr:23.5440
step :35000 |ssim:0.8015| psnr:23.9606
step :40000 |ssim:0.8146| psnr:24.3192
step :45000 |ssim:0.7892| psnr:23.0808
step :50000 |ssim:0.8225| psnr:25.1477
 model saved at step :50000| max_psnr:25.1477|max_ssim:0.8225
step :55000 |ssim:0.8224| psnr:24.5944
step :60000 |ssim:0.8353| psnr:25.3130
 model saved at step :60000| max_psnr:25.3130|max_ssim:0.8353
step :65000 |ssim:0.8268| psnr:25.1686
step :70000 |ssim:0.8404| psnr:26.1775
 model saved at step :70000| max_psnr:26.1775|max_ssim:0.8404
step :75000 |ssim:0.8243| psnr:25.3800
step :80000 |ssim:0.8404| psnr:25.8442
step :85000 |ssim:0.8339| psnr:26.1143
step :90000 |ssim:0.8432| psnr:26.0301
step :95000 |ssim:0.8469| psnr:26.3106
 model saved at step :95000| max_psnr:26.3106|max_ssim:0.8469
step :100000 |ssim:0.8343| psnr:25.6889
step :105000 |ssim:0.8307| psnr:26.1906
step :110000 |ssim:0.8483| psnr:26.0119
step :115000 |ssim:0.8417| psnr:26.3285
step :120000 |ssim:0.8595| psnr:26.9950
 model saved at step :120000| max_psnr:26.9950|max_ssim:0.8595
step :125000 |ssim:0.8470| psnr:26.6721
step :130000 |ssim:0.8558| psnr:27.0159
step :135000 |ssim:0.8610| psnr:27.3748
 model saved at step :135000| max_psnr:27.3748|max_ssim:0.8610
step :140000 |ssim:0.8464| psnr:25.6505
step :145000 |ssim:0.8262| psnr:25.1724
step :150000 |ssim:0.8590| psnr:26.6852
step :155000 |ssim:0.8633| psnr:27.4886
 model saved at step :155000| max_psnr:27.4886|max_ssim:0.8633
step :160000 |ssim:0.8485| psnr:26.5251
step :165000 |ssim:0.8337| psnr:26.6756
step :170000 |ssim:0.8666| psnr:27.7395
 model saved at step :170000| max_psnr:27.7395|max_ssim:0.8666
step :175000 |ssim:0.8684| psnr:27.7881
 model saved at step :175000| max_psnr:27.7881|max_ssim:0.8684
step :180000 |ssim:0.8656| psnr:27.7899
step :185000 |ssim:0.8669| psnr:27.8769
step :190000 |ssim:0.8655| psnr:27.9315
step :195000 |ssim:0.8695| psnr:27.8959
 model saved at step :195000| max_psnr:27.8959|max_ssim:0.8695
step :200000 |ssim:0.8683| psnr:27.7574
step :205000 |ssim:0.8731| psnr:27.7784
step :210000 |ssim:0.8584| psnr:27.1621
step :215000 |ssim:0.8619| psnr:27.5341
step :220000 |ssim:0.8724| psnr:27.5073
step :225000 |ssim:0.8618| psnr:27.3405
step :230000 |ssim:0.8755| psnr:28.0466
 model saved at step :230000| max_psnr:28.0466|max_ssim:0.8755
step :235000 |ssim:0.8763| psnr:28.3259
 model saved at step :235000| max_psnr:28.3259|max_ssim:0.8763
step :240000 |ssim:0.8777| psnr:27.9514
step :245000 |ssim:0.8789| psnr:28.1520
step :250000 |ssim:0.8743| psnr:28.2335
step :255000 |ssim:0.8807| psnr:28.6294
 model saved at step :255000| max_psnr:28.6294|max_ssim:0.8807
step :260000 |ssim:0.8770| psnr:28.3915
step :265000 |ssim:0.8801| psnr:28.4395
step :270000 |ssim:0.8731| psnr:28.3564
step :275000 |ssim:0.8775| psnr:28.6062
step :280000 |ssim:0.8719| psnr:28.0961
step :285000 |ssim:0.8799| psnr:28.7351
step :290000 |ssim:0.8796| psnr:28.6348
step :295000 |ssim:0.8802| psnr:28.6932
step :300000 |ssim:0.8823| psnr:28.4396
step :305000 |ssim:0.8791| psnr:28.6809
step :310000 |ssim:0.8810| psnr:28.8282
 model saved at step :310000| max_psnr:28.8282|max_ssim:0.8810
step :315000 |ssim:0.8851| psnr:28.9942
 model saved at step :315000| max_psnr:28.9942|max_ssim:0.8851
step :320000 |ssim:0.8845| psnr:28.8154
step :325000 |ssim:0.8847| psnr:28.9165
step :330000 |ssim:0.8863| psnr:29.0298
 model saved at step :330000| max_psnr:29.0298|max_ssim:0.8863
step :335000 |ssim:0.8872| psnr:29.0141
step :340000 |ssim:0.8808| psnr:28.6121
step :345000 |ssim:0.8888| psnr:29.1207
 model saved at step :345000| max_psnr:29.1207|max_ssim:0.8888
step :350000 |ssim:0.8878| psnr:28.8475
step :355000 |ssim:0.8870| psnr:29.1490
step :360000 |ssim:0.8892| psnr:29.1913
 model saved at step :360000| max_psnr:29.1913|max_ssim:0.8892
step :365000 |ssim:0.8860| psnr:29.0708
step :370000 |ssim:0.8904| psnr:29.2204
 model saved at step :370000| max_psnr:29.2204|max_ssim:0.8904
step :375000 |ssim:0.8903| psnr:29.2088
step :380000 |ssim:0.8894| psnr:29.1845
step :385000 |ssim:0.8908| psnr:29.1684
step :390000 |ssim:0.8897| psnr:29.2709
step :395000 |ssim:0.8910| psnr:29.2743
 model saved at step :395000| max_psnr:29.2743|max_ssim:0.8910
step :400000 |ssim:0.8889| psnr:29.1710
step :405000 |ssim:0.8907| psnr:29.1523
step :410000 |ssim:0.8906| psnr:29.3948
step :415000 |ssim:0.8925| psnr:29.4091
 model saved at step :415000| max_psnr:29.4091|max_ssim:0.8925
step :420000 |ssim:0.8921| psnr:29.4091
step :425000 |ssim:0.8914| psnr:29.2846
step :430000 |ssim:0.8913| psnr:29.4444
step :435000 |ssim:0.8921| psnr:29.3495
step :440000 |ssim:0.8918| psnr:29.3485
step :445000 |ssim:0.8919| psnr:29.4037
step :450000 |ssim:0.8927| psnr:29.4228
 model saved at step :450000| max_psnr:29.4228|max_ssim:0.8927
step :455000 |ssim:0.8913| psnr:29.3617
step :460000 |ssim:0.8927| psnr:29.4419
step :465000 |ssim:0.8929| psnr:29.4706
 model saved at step :465000| max_psnr:29.4706|max_ssim:0.8929
step :470000 |ssim:0.8927| psnr:29.4370
step :475000 |ssim:0.8924| psnr:29.4498
step :480000 |ssim:0.8925| psnr:29.4482
step :485000 |ssim:0.8929| psnr:29.4536
step :490000 |ssim:0.8928| psnr:29.4441
step :495000 |ssim:0.8927| psnr:29.4487
step :500000 |ssim:0.8928| psnr:29.45152021-11-11 09:09:092021-11-17 09:27:06

step :350000 |ssim:0.8791| psnr:28.5764
 model saved at step :350000| max_psnr:28.5764|max_ssim:0.8791
step :400000 |ssim:0.8876| psnr:29.0835
 model saved at step :400000| max_psnr:29.0835|max_ssim:0.8876
step :450000 |ssim:0.8893| psnr:29.2509
 model saved at step :450000| max_psnr:29.2509|max_ssim:0.8893
step :500000 |ssim:0.8896| psnr:29.2598
 model saved at step :500000| max_psnr:29.2598|max_ssim:0.88962021-11-18 17:40:182022-01-12 20:02:09

step :50000 |ssim:0.8495| psnr:26.0753
 model saved at step :50000| max_psnr:26.0753|max_ssim:0.8495
step :100000 |ssim:0.8782| psnr:27.9160
 model saved at step :100000| max_psnr:27.9160|max_ssim:0.8782
step :150000 |ssim:0.8871| psnr:28.1659
 model saved at step :150000| max_psnr:28.1659|max_ssim:0.8871
step :200000 |ssim:0.8924| psnr:28.6000
 model saved at step :200000| max_psnr:28.6000|max_ssim:0.8924
step :250000 |ssim:0.8980| psnr:28.9872
 model saved at step :250000| max_psnr:28.9872|max_ssim:0.8980
step :300000 |ssim:0.9010| psnr:29.1172
 model saved at step :300000| max_psnr:29.1172|max_ssim:0.9010
step :350000 |ssim:0.9041| psnr:29.4704
 model saved at step :350000| max_psnr:29.4704|max_ssim:0.9041
step :400000 |ssim:0.9064| psnr:29.5851
 model saved at step :400000| max_psnr:29.5851|max_ssim:0.9064
step :450000 |ssim:0.9069| psnr:29.6156
 model saved at step :450000| max_psnr:29.6156|max_ssim:0.9069
step :500000 |ssim:0.9070| psnr:29.6233
 model saved at step :500000| max_psnr:29.6233|max_ssim:0.90702022-01-13 23:51:512022-03-06 19:14:14
2022-03-06 19:15:56
2022-03-06 19:16:31
2022-03-06 19:20:05
2022-03-06 19:21:10
2022-03-06 19:28:09
2022-03-06 19:37:20
2022-03-06 19:38:20
2022-03-06 19:41:00
2022-03-06 19:41:44
2022-03-06 19:42:47
2022-03-06 19:45:21
2022-03-06 19:47:09
2022-03-06 19:50:17
2022-03-06 20:16:25
2022-03-06 20:19:52
2022-03-06 20:24:31
2022-03-06 20:25:22
2022-03-06 20:55:37

step :5000 |ssim:0.8513| psnr:22.56752022-03-06 21:48:47

step :5000 |ssim:0.8392| psnr:21.88252022-03-08 09:16:19
2022-04-12 22:38:15

step :380000 |ssim:0.9371| psnr:28.1207
step :390000 |ssim:0.9336| psnr:27.2678
step :400000 |ssim:0.9265| psnr:27.5556
step :410000 |ssim:0.9409| psnr:28.4602
step :420000 |ssim:0.9400| psnr:28.3669
step :430000 |ssim:0.9353| psnr:28.0308
step :440000 |ssim:0.9426| psnr:28.8946
 model saved at step :440000| max_psnr:28.8946|max_ssim:0.9426
step :450000 |ssim:0.9337| psnr:27.7880
step :460000 |ssim:0.9445| psnr:29.0602
 model saved at step :460000| max_psnr:29.0602|max_ssim:0.9445
step :470000 |ssim:0.9446| psnr:29.2477
 model saved at step :470000| max_psnr:29.2477|max_ssim:0.9446
step :480000 |ssim:0.9377| psnr:28.5606
step :490000 |ssim:0.9444| psnr:29.1692
step :500000 |ssim:0.9442| psnr:29.3567
step :510000 |ssim:0.9412| psnr:28.6235
step :520000 |ssim:0.9389| psnr:28.3821
step :530000 |ssim:0.9431| psnr:29.0524
step :540000 |ssim:0.9408| psnr:28.0924
step :550000 |ssim:0.9426| psnr:28.5927
step :560000 |ssim:0.9440| psnr:29.1729
step :570000 |ssim:0.9389| psnr:28.2285
step :580000 |ssim:0.9416| psnr:28.4907
step :590000 |ssim:0.9402| psnr:28.4195
step :600000 |ssim:0.9426| psnr:28.7810
step :610000 |ssim:0.9409| psnr:28.6732
step :620000 |ssim:0.9373| psnr:28.1404
step :630000 |ssim:0.9404| psnr:28.6509
step :640000 |ssim:0.9452| psnr:29.4105
 model saved at step :640000| max_psnr:29.4105|max_ssim:0.9452
step :650000 |ssim:0.9400| psnr:28.3408
step :660000 |ssim:0.9445| psnr:29.2259
step :670000 |ssim:0.9458| psnr:29.4156
 model saved at step :670000| max_psnr:29.4156|max_ssim:0.9458
step :680000 |ssim:0.9414| psnr:28.7475
step :690000 |ssim:0.9427| psnr:28.4907
step :700000 |ssim:0.9468| psnr:29.5569
 model saved at step :700000| max_psnr:29.5569|max_ssim:0.9468
step :710000 |ssim:0.9433| psnr:29.2319
step :720000 |ssim:0.9448| psnr:29.2864
step :730000 |ssim:0.9471| psnr:29.7180
 model saved at step :730000| max_psnr:29.7180|max_ssim:0.9471
step :740000 |ssim:0.9422| psnr:28.7042
step :750000 |ssim:0.9458| psnr:29.4837
step :760000 |ssim:0.9462| psnr:29.6916
step :770000 |ssim:0.9448| psnr:29.2552
step :780000 |ssim:0.9465| psnr:29.5055
step :790000 |ssim:0.9462| psnr:29.5931
step :800000 |ssim:0.9461| psnr:29.4323
step :810000 |ssim:0.9443| psnr:29.0246
step :820000 |ssim:0.9472| psnr:29.7295
 model saved at step :820000| max_psnr:29.7295|max_ssim:0.9472
step :830000 |ssim:0.9423| psnr:28.8848
step :840000 |ssim:0.9457| psnr:29.5769
step :850000 |ssim:0.9448| psnr:29.3116
step :860000 |ssim:0.9446| psnr:29.0377
step :870000 |ssim:0.9449| psnr:29.3106
step :880000 |ssim:0.9448| psnr:29.2636
step :890000 |ssim:0.9455| psnr:29.3343
step :900000 |ssim:0.9449| psnr:29.2548
step :910000 |ssim:0.9452| psnr:29.3566
step :920000 |ssim:0.9461| psnr:29.5013
step :930000 |ssim:0.9457| psnr:29.4289
step :940000 |ssim:0.9452| psnr:29.3044
step :950000 |ssim:0.9453| psnr:29.3940
step :960000 |ssim:0.9459| psnr:29.5174
step :970000 |ssim:0.9456| psnr:29.4411
step :980000 |ssim:0.9457| psnr:29.4464
step :990000 |ssim:0.9455| psnr:29.4026
step :1000000 |ssim:0.9456| psnr:29.41072022-04-17 08:49:292022-05-01 13:33:11
2022-05-03 12:34:28
2022-05-03 12:35:11
2022-05-03 23:42:11

step :410000 |ssim:0.9200| psnr:29.5028
 model saved at step :410000| max_psnr:29.5028|max_ssim:0.9200
step :420000 |ssim:0.9205| psnr:29.5711
 model saved at step :420000| max_psnr:29.5711|max_ssim:0.9205
step :430000 |ssim:0.9214| psnr:29.7186
 model saved at step :430000| max_psnr:29.7186|max_ssim:0.9214
step :440000 |ssim:0.9211| psnr:29.6764
step :450000 |ssim:0.9220| psnr:29.8709
 model saved at step :450000| max_psnr:29.8709|max_ssim:0.9220
step :460000 |ssim:0.9223| psnr:29.8608
step :470000 |ssim:0.9221| psnr:29.9064
 model saved at step :470000| max_psnr:29.9064|max_ssim:0.9221
step :480000 |ssim:0.9228| psnr:29.9378
 model saved at step :480000| max_psnr:29.9378|max_ssim:0.9228
step :490000 |ssim:0.9233| psnr:29.9900
 model saved at step :490000| max_psnr:29.9900|max_ssim:0.9233
step :500000 |ssim:0.9233| psnr:29.9863
step :510000 |ssim:0.9232| psnr:30.0132
step :520000 |ssim:0.9236| psnr:30.0703
 model saved at step :520000| max_psnr:30.0703|max_ssim:0.9236
step :530000 |ssim:0.9231| psnr:30.0993
step :540000 |ssim:0.9238| psnr:30.0727
 model saved at step :540000| max_psnr:30.0727|max_ssim:0.9238
step :550000 |ssim:0.9238| psnr:30.1183
 model saved at step :550000| max_psnr:30.1183|max_ssim:0.9238
step :560000 |ssim:0.9236| psnr:30.1314
step :570000 |ssim:0.9238| psnr:30.0994
step :580000 |ssim:0.9241| psnr:30.1714
 model saved at step :580000| max_psnr:30.1714|max_ssim:0.9241
step :590000 |ssim:0.9236| psnr:30.1307
step :600000 |ssim:0.9237| psnr:30.10872022-05-06 08:43:302022-05-11 15:46:28
2022-05-11 15:46:39
2022-05-11 15:47:49
2022-05-11 21:26:57

step :50000 |ssim:0.9632| psnr:28.2713
 model saved at step :50000| max_psnr:28.2713|max_ssim:0.9632
step :60000 |ssim:0.9647| psnr:27.5227
step :70000 |ssim:0.9595| psnr:28.2535
step :80000 |ssim:0.9706| psnr:29.9501
 model saved at step :80000| max_psnr:29.9501|max_ssim:0.9706
step :90000 |ssim:0.9721| psnr:30.1254
 model saved at step :90000| max_psnr:30.1254|max_ssim:0.9721
step :100000 |ssim:0.9711| psnr:29.96492022-05-12 05:58:042022-05-12 08:51:20

step :50000 |ssim:0.9297| psnr:28.5182
 model saved at step :50000| max_psnr:28.5182|max_ssim:0.9297
step :60000 |ssim:0.9304| psnr:28.5483
 model saved at step :60000| max_psnr:28.5483|max_ssim:0.9304
step :70000 |ssim:0.9390| psnr:29.7608
 model saved at step :70000| max_psnr:29.7608|max_ssim:0.9390
step :80000 |ssim:0.9413| psnr:30.1198
 model saved at step :80000| max_psnr:30.1198|max_ssim:0.9413
step :90000 |ssim:0.9417| psnr:30.4474
 model saved at step :90000| max_psnr:30.4474|max_ssim:0.9417
step :100000 |ssim:0.9423| psnr:30.4865
 model saved at step :100000| max_psnr:30.4865|max_ssim:0.94232022-05-12 22:49:362022-06-01 00:47:35
2022-06-01 00:50:02
2022-06-01 00:50:30
2022-06-01 00:50:49

step :10000 |ssim:0.8768| psnr:23.7419
 model saved at step :10000| max_psnr:23.7419|max_ssim:0.8768
step :20000 |ssim:0.8659| psnr:24.0542
step :30000 |ssim:0.8996| psnr:25.4902
 model saved at step :30000| max_psnr:25.4902|max_ssim:0.8996
step :40000 |ssim:0.9107| psnr:25.8589
 model saved at step :40000| max_psnr:25.8589|max_ssim:0.9107
step :50000 |ssim:0.9197| psnr:26.3508
 model saved at step :50000| max_psnr:26.3508|max_ssim:0.9197
step :60000 |ssim:0.9161| psnr:26.4286
step :70000 |ssim:0.9176| psnr:26.4864
step :80000 |ssim:0.9234| psnr:26.9177
 model saved at step :80000| max_psnr:26.9177|max_ssim:0.9234
step :90000 |ssim:0.9259| psnr:26.6759
step :100000 |ssim:0.9228| psnr:26.4137
step :110000 |ssim:0.9263| psnr:27.0542
 model saved at step :110000| max_psnr:27.0542|max_ssim:0.9263
step :120000 |ssim:0.9139| psnr:25.9705
step :130000 |ssim:0.9372| psnr:28.0601
 model saved at step :130000| max_psnr:28.0601|max_ssim:0.9372
step :140000 |ssim:0.9315| psnr:27.2831
step :150000 |ssim:0.9195| psnr:26.4784
step :160000 |ssim:0.9384| psnr:27.9794
step :170000 |ssim:0.9329| psnr:27.5879
step :180000 |ssim:0.9393| psnr:28.3187
 model saved at step :180000| max_psnr:28.3187|max_ssim:0.9393
step :190000 |ssim:0.9397| psnr:28.3958
 model saved at step :190000| max_psnr:28.3958|max_ssim:0.9397
step :200000 |ssim:0.9344| psnr:28.0307
step :210000 |ssim:0.9423| psnr:28.6460
 model saved at step :210000| max_psnr:28.6460|max_ssim:0.9423
step :220000 |ssim:0.9256| psnr:25.7949
step :230000 |ssim:0.9417| psnr:28.5565
step :240000 |ssim:0.9308| psnr:27.1324
step :250000 |ssim:0.9381| psnr:27.4297
step :260000 |ssim:0.9467| psnr:29.2992
 model saved at step :260000| max_psnr:29.2992|max_ssim:0.9467
step :270000 |ssim:0.9459| psnr:29.1018
step :280000 |ssim:0.9409| psnr:28.0462
step :290000 |ssim:0.9483| psnr:29.2200
step :300000 |ssim:0.9480| psnr:29.2746
step :310000 |ssim:0.9403| psnr:28.1630
step :320000 |ssim:0.9446| psnr:28.2908
step :330000 |ssim:0.9432| psnr:28.3495
step :340000 |ssim:0.8633| psnr:24.3261
step :350000 |ssim:0.9419| psnr:28.8730
step :360000 |ssim:0.9380| psnr:28.2301
step :370000 |ssim:0.9469| psnr:28.9067
step :380000 |ssim:0.9391| psnr:28.1338
step :390000 |ssim:0.9461| psnr:28.8785
step :400000 |ssim:0.9498| psnr:29.9163
 model saved at step :400000| max_psnr:29.9163|max_ssim:0.9498
step :410000 |ssim:0.9460| psnr:29.1274
step :420000 |ssim:0.9499| psnr:29.6785
step :430000 |ssim:0.9479| psnr:29.5109
step :440000 |ssim:0.9488| psnr:29.6034
step :450000 |ssim:0.9460| psnr:29.1447
step :460000 |ssim:0.9414| psnr:27.8851
step :470000 |ssim:0.9487| psnr:29.2001
step :480000 |ssim:0.9516| psnr:30.0805
 model saved at step :480000| max_psnr:30.0805|max_ssim:0.9516
step :490000 |ssim:0.9497| psnr:29.2944
step :500000 |ssim:0.9480| psnr:29.3508
step :510000 |ssim:0.9501| psnr:29.7839
step :520000 |ssim:0.9461| psnr:28.8508
step :530000 |ssim:0.9512| psnr:29.6458
step :540000 |ssim:0.9526| psnr:30.1487
 model saved at step :540000| max_psnr:30.1487|max_ssim:0.9526
step :550000 |ssim:0.9517| psnr:29.9521
step :560000 |ssim:0.9411| psnr:28.4872
step :570000 |ssim:0.9534| psnr:30.3053
 model saved at step :570000| max_psnr:30.3053|max_ssim:0.9534
step :580000 |ssim:0.9526| psnr:29.7551
step :590000 |ssim:0.9491| psnr:29.4951
step :600000 |ssim:0.9528| psnr:30.3254
step :610000 |ssim:0.9531| psnr:30.3396
step :620000 |ssim:0.9534| psnr:30.2847
step :630000 |ssim:0.9531| psnr:30.0624
step :640000 |ssim:0.9553| psnr:30.7420
 model saved at step :640000| max_psnr:30.7420|max_ssim:0.9553
step :650000 |ssim:0.9450| psnr:28.2503
step :660000 |ssim:0.9533| psnr:30.3357
step :670000 |ssim:0.9525| psnr:30.1087
step :680000 |ssim:0.9537| psnr:30.4811
step :690000 |ssim:0.9535| psnr:30.2832
step :700000 |ssim:0.9542| psnr:30.3845
step :710000 |ssim:0.9509| psnr:29.7782
step :720000 |ssim:0.9542| psnr:30.5124
step :730000 |ssim:0.9513| psnr:29.6196
step :740000 |ssim:0.9514| psnr:29.8071
step :750000 |ssim:0.9533| psnr:30.2008
step :760000 |ssim:0.9528| psnr:30.1503
step :770000 |ssim:0.9551| psnr:30.4370
